"subjectID","wave","task","nVols","percent"
"RRV001",1,"CR",0,0
"RRV002",1,"CR",8,1.6
"RRV003",1,"CR",0,0
"RRV004",1,"CR",2,0.4
"RRV005",1,"CR",4,0.8
"RRV006",1,"CR",0,0
"RRV007",1,"CR",0,0
"RRV008",1,"CR",13,2.6
"RRV009",1,"CR",2,0.4
"RRV010",1,"CR",0,0
"RRV011",1,"CR",0,0
"RRV012",1,"CR",0,0
"RRV013",1,"CR",7,1.4
"RRV014",1,"CR",0,0
"RRV015",1,"CR",0,0
"RRV016",1,"CR",0,0
"RRV017",1,"CR",7,1.4
"RRV018",1,"CR",1,0.2
"RRV019",1,"CR",1,0.2
"RRV020",1,"CR",0,0
"RRV021",1,"CR",0,0
"RRV022",1,"CR",9,1.8
"RRV023",1,"CR",5,1
"RRV024",1,"CR",4,0.8
"RRV025",1,"CR",0,0
"RRV026",1,"CR",3,0.6
"RRV027",1,"CR",0,0
"RRV028",1,"CR",2,0.4
"RRV029",1,"CR",25,5
"RRV030",1,"CR",0,0
"RRV031",1,"CR",0,0
"RRV032",1,"CR",2,0.4
"RRV033",1,"CR",11,2.2
"RRV034",1,"CR",11,2.2
"RRV035",1,"CR",20,4
"RRV036",1,"CR",0,0
"RRV037",1,"CR",8,1.6
"RRV038",1,"CR",5,1
"RRV039",1,"CR",21,4.2
"RRV040",1,"CR",2,0.4
"RRV041",1,"CR",0,0
"RRV042",1,"CR",2,0.4
"RRV043",1,"CR",13,2.6
"RRV044",1,"CR",30,6
"RRV045",1,"CR",0,0
"RRV046",1,"CR",2,0.4
"RRV047",1,"CR",35,7
"RRV048",1,"CR",2,0.4
"RRV049",1,"CR",3,0.6
"RRV050",1,"CR",0,0
"RRV051",1,"CR",4,0.8
"RRV052",1,"CR",9,1.8
"RRV053",1,"CR",0,0
"RRV054",1,"CR",2,0.4
"RRV055",1,"CR",3,0.6
"RRV056",1,"CR",0,0
"RRV057",1,"CR",13,2.6
"RRV058",1,"CR",0,0
"RRV059",1,"CR",6,1.2
"RRV060",1,"CR",2,0.4
"RRV061",1,"CR",2,0.4
"RRV062",1,"CR",10,2
"RRV063",1,"CR",1,0.2
"RRV064",1,"CR",7,1.4
"RRV065",1,"CR",0,0
"RRV066",1,"CR",1,0.2
"RRV067",1,"CR",13,2.6
"RRV068",1,"CR",7,1.4
"RRV069",1,"CR",8,1.6
"RRV070",1,"CR",8,1.6
"RRV071",1,"CR",3,0.6
"RRV072",1,"CR",13,2.6
"RRV073",1,"CR",0,0
"RRV074",1,"CR",10,2
"RRV075",1,"CR",3,0.6
"RRV076",1,"CR",11,2.2
"RRV077",1,"CR",46,9.2
"RRV078",1,"CR",0,0
"RRV079",1,"CR",0,0
"RRV080",1,"CR",0,0
"RRV081",1,"CR",2,0.4
"RRV082",1,"CR",7,1.4
"RRV083",1,"CR",4,0.8
"RRV084",1,"CR",10,2
"RRV085",1,"CR",5,1
"RRV086",1,"CR",14,2.8
"RRV087",1,"CR",3,0.6
"RRV088",1,"CR",0,0
"RRV089",1,"CR",1,0.2
"RRV090",1,"CR",0,0
"RRV091",1,"CR",7,1.4
"RRV092",1,"CR",0,0
"RRV093",1,"CR",0,0
"RRV095",1,"CR",0,0
"RRV096",1,"CR",15,3
"RRV097",1,"CR",0,0
"RRV098",1,"CR",3,0.6
"RRV099",1,"CR",0,0
"RRV100",1,"CR",1,0.2
"RRV101",1,"CR",14,2.8
"RRV102",1,"CR",3,0.6
"RRV103",1,"CR",4,0.8
"RRV104",1,"CR",12,4.8
"RRV105",1,"CR",34,6.8
"RRV106",1,"CR",4,0.8
"RRV107",1,"CR",21,4.2
"RRV108",1,"CR",7,1.4
"RRV109",1,"CR",8,1.6
"RRV110",1,"CR",30,6
"RRV111",1,"CR",3,0.6
"RRV112",1,"CR",6,1.2
"RRV113",1,"CR",9,1.8
"RRV114",1,"CR",4,0.8
"RRV115",1,"CR",2,0.4
"RRV116",1,"CR",2,0.4
"RRV117",1,"CR",34,6.8
"RRV118",1,"CR",1,0.2
"RRV119",1,"CR",4,0.8
"RRV120",1,"CR",0,0
"RRV121",1,"CR",12,2.4
"RRV122",1,"CR",5,1
"RRV123",1,"CR",0,0
"RRV124",1,"CR",20,4
"RRV125",1,"CR",1,0.2
"RRV126",1,"CR",10,2
"RRV127",1,"CR",0,0
"RRV128",1,"CR",4,0.8
"RRV129",1,"CR",0,0
"RRV130",1,"CR",13,2.6
"RRV131",1,"CR",7,1.4
"RRV132",1,"CR",0,0
"RRV133",1,"CR",0,0
"RRV134",1,"CR",1,0.2
"RRV135",1,"CR",2,0.4
"RRV136",1,"CR",5,1
"RRV137",1,"CR",11,2.2
"RRV138",1,"CR",2,0.4
"RRV139",1,"CR",5,1
"RRV140",1,"CR",0,0
"RRV141",1,"CR",0,0
"RRV142",1,"CR",6,1.2
"RRV143",1,"CR",14,2.8
"RRV144",1,"CR",0,0
"RRV145",1,"CR",7,1.4
"RRV146",1,"CR",0,0
"RRV147",1,"CR",2,0.4
"RRV148",1,"CR",1,0.2
"RRV149",1,"CR",6,1.2
"RRV150",1,"CR",64,12.8
"RRV151",1,"CR",5,1
"RRV152",1,"CR",4,0.8
"RRV153",1,"CR",12,2.4
"RRV154",1,"CR",8,1.6
"RRV155",1,"CR",0,0
"RRV156",1,"CR",0,0
"RRV157",1,"CR",9,1.8
"RRV158",1,"CR",0,0
"RRV159",1,"CR",14,2.8
"RRV160",1,"CR",6,1.2
"RRV161",1,"CR",10,2
"RRV162",1,"CR",1,0.2
"RRV164",1,"CR",11,2.2
"RRV166",1,"CR",1,0.2
"RRV167",1,"CR",3,0.6
"RRV168",1,"CR",25,5
"RRV169",1,"CR",1,0.2
"RRV170",1,"CR",9,1.8
"RRV171",1,"CR",11,2.2
"RRV172",1,"CR",13,2.6
"RRV173",1,"CR",9,3.6
"RRV174",1,"CR",2,0.8
"RRV175",1,"CR",5,2
"RRV176",1,"CR",0,0
"RRV177",1,"CR",7,2.8
"RRV178",1,"CR",0,0
"RRV179",1,"CR",0,0
"RRV180",1,"CR",0,0
"RRV181",1,"CR",0,0
"RRV182",1,"CR",4,1.6
"RRV183",1,"CR",0,0
"RRV184",1,"CR",0,0
"RRV185",1,"CR",0,0
"RRV186",1,"CR",0,0
"RRV187",1,"CR",2,0.8
"RRV188",1,"CR",1,0.4
"RRV189",1,"CR",3,1.2
"RRV190",1,"CR",3,1.2
"RRV191",1,"CR",9,3.6
"RRV192",1,"CR",0,0
"RRV193",1,"CR",1,0.4
"RRV194",1,"CR",1,0.4
"RRV195",1,"CR",0,0
"RRV196",1,"CR",0,0
"RRV197",1,"CR",3,1.2
"RRV198",1,"CR",0,0
"RRV199",1,"CR",0,0
"RRV200",1,"CR",3,1.2
"RRV201",1,"CR",0,0
"RRV202",1,"CR",9,3.6
"RRV203",1,"CR",44,17.6
"RRV205",1,"CR",1,0.4
"RRV206",1,"CR",0,0
"RRV207",1,"CR",1,0.4
"RRV208",1,"CR",6,2.4
"RRV209",1,"CR",1,0.4
"RRV210",1,"CR",0,0
"RRV211",1,"CR",12,4.8
"RRV212",1,"CR",0,0
"RRV213",1,"CR",0,0
"RRV214",1,"CR",4,1.6
"RRV215",1,"CR",14,5.6
"RRV216",1,"CR",1,0.4
"RRV217",1,"CR",2,0.8
"RRV218",1,"CR",0,0
"RRV219",1,"CR",0,0
"RRV220",1,"CR",1,0.4
"RRV221",1,"CR",8,3.2
"RRV222",1,"CR",0,0
"RRV223",1,"CR",0,0
"RRV224",1,"CR",13,5.2
"RRV225",1,"CR",2,0.8
"RRV226",1,"CR",6,2.4
"RRV227",1,"CR",35,14
"RRV228",1,"CR",10,4
"RRV229",1,"CR",1,0.4
"RRV230",1,"CR",1,0.4
"RRV231",1,"CR",22,8.8
"RRV232",1,"CR",10,4
"RRV233",1,"CR",1,0.4
"RRV234",1,"CR",2,0.8
"RRV235",1,"CR",0,0
"RRV236",1,"CR",3,1.2
"RRV237",1,"CR",5,2
"RRV238",1,"CR",4,1.6
"RRV239",1,"CR",0,0
"RRV240",1,"CR",0,0
"RRV241",1,"CR",0,0
"RRV242",1,"CR",0,0
"RRV243",1,"CR",0,0
"RRV244",1,"CR",0,0
"RRV245",1,"CR",12,4.8
"RRV246",1,"CR",23,9.2
"RRV247",1,"CR",6,2.4
"RRV248",1,"CR",1,0.4
"RRV249",1,"CR",0,0
"RRV250",1,"CR",2,0.8
"RRV251",1,"CR",11,4.4
"RRV252",1,"CR",0,0
"RRV253",1,"CR",0,0
"RRV254",1,"CR",1,0.4
"RRV255",1,"CR",3,1.2
"RRV257",1,"CR",0,0
"RRV258",1,"CR",0,0
"RRV259",1,"CR",0,0
"RRV260",1,"CR",2,0.8
"RRV261",1,"CR",0,0
"RRV262",1,"CR",8,3.2
"RRV263",1,"CR",9,3.6
"RRV264",1,"CR",0,0
"RRV265",1,"CR",0,0
"RRV266",1,"CR",4,1.6
"RRV267",1,"CR",2,0.8
"RRV268",1,"CR",0,0
"RRV269",1,"CR",2,0.8
"RRV270",1,"CR",1,0.4
"RRV271",1,"CR",0,0
"RRV272",1,"CR",23,9.2
